795222163432983	7	15462	3470	3501	1
795222163432983	19	14777	3884	3915	1
795222163432983	21	13270	6637	6668	0
795222163432983	23	14642	9656	9687	0
795222163432983	25	14121	5240	5271	1
795222163432983	8	15886	4980	5011	1
813523382476943	25	14121	2919	2950	0
813523382476943	8	15886	2648	2679	0
813523382476943	21	13270	8969	9000	1
813523382476943	7	15462	1136	1167	0
813523382476943	23	14642	11987	12018	1
813523382476943	19	14777	1557	1588	0
936655163721871	11	12519	8845	8876	0
936655163721871	3	14630	6079	6110	0
936655163721871	22	13344	3307	3338	1
936655163721871	18	14391	5401	5432	1
936655163721871	14	14219	4116	4147	1
1064294677535493	10	13959	5486	5517	1
1064294677535493	3	14630	608	639	0
1064294677535493	13	14335	9715	9746	0
1064294677535493	22	13344	8781	8812	1
1064294677535493	18	14391	10876	10907	1
1064294677535493	11	12519	3372	3403	0
1064294677535493	14	14219	9589	9620	1
1292981323111019	10	13959	8083	8114	1
1292981323111019	11	12519	777	808	0
1292981323111019	14	14219	12181	12212	1
1292981323111019	18	14391	13472	13503	1
1292981323111019	13	14335	7121	7152	0
1292981323111019	22	13344	11376	11407	1
1319368512206118	23	14642	12610	12641	0
1319368512206118	7	15462	513	544	1
1319368512206118	19	14777	936	967	1
1319368512206118	8	15886	2025	2056	1
1319368512206118	21	13270	9592	9623	0
1447267434250811	22	13344	2408	2439	0
1447267434250811	14	14219	3217	3248	0
1447267434250811	11	12519	9745	9776	1
1447267434250811	3	14630	6978	7009	1
1447267434250811	18	14391	4503	4534	0
1969551308981807	25	14121	1688	1719	0
1969551308981807	23	14642	13225	13256	1
1969551308981807	8	15886	1411	1442	0
1969551308981807	19	14777	326	357	0
1969551308981807	21	13270	10207	10238	1
2299860737676937	10	13959	7249	7280	1
2299860737676937	18	14391	12640	12671	1
2299860737676937	14	14219	11349	11380	1
2299860737676937	13	14335	7951	7982	0
2299860737676937	22	13344	10544	10575	1
2299860737676937	11	12519	1610	1641	0
2516239182214047	10	13959	5906	5937	1
2516239182214047	18	14391	11296	11327	1
2516239182214047	3	14630	188	219	0
2516239182214047	13	14335	9296	9327	0
2516239182214047	14	14219	10008	10039	1
2516239182214047	11	12519	2952	2983	0
2516239182214047	22	13344	9201	9232	1
2696045058397807	18	14391	14177	14208	0
2696045058397807	14	14219	12885	12916	0
2696045058397807	13	14335	6418	6449	1
2696045058397807	22	13344	12080	12111	0
2696045058397807	10	13959	8789	8820	0
2762015329388351	22	13344	7740	7771	0
2762015329388351	10	13959	4445	4476	0
2762015329388351	3	14630	1649	1680	1
